slug,min_precip,max_precip
crepis-runcinata-subsp-andersonii,400,900
crepis-runcinata-subsp-barberi,400,900
crepis-runcinata-subsp-glauca,400,900
crepis-runcinata-subsp-hallii,400,900
crepis-runcinata-subsp-hispidulosa,400,900
crepis-runcinata-subsp-imbricata,400,900
crescentia-linearifolia,500,1100
crescentia-portoricensis,1500,5100
cressa-truxillensis,200,400
croptilon-divaricatum,400,1300
crotalaria-juncea,500,4300
crotalaria-spectabilis,800,2900
croton-glandulosus-var-arenicola,300,1400
croton-glandulosus-var-floridanus,300,1400
croton-glandulosus-var-glandulosus,300,1400
croton-glandulosus-var-lindheimeri,300,1400
croton-glandulosus-var-pubentissimus,300,1400
croton-glandulosus-var-septentrionalis,300,1400
cruciata-taurica-subsp-glaberrima,300,1400
cucurbita-foetidissima,100,1100
cupania-americana,1000,4100
cupressus-arizonica-var-arizonica,400,800
cyathea-arborea,1000,4100
cycnium-tubulosum,600,1600
cynodon-dactylon,800,2600
cyperus-acuminatus,600,1400
cyperus-bipartitus,700,1300
cyperus-erythrorhizos,300,1300
cyperus-esculentus,300,1400
cyperus-esculentus-var-hermannii,300,1400
cyperus-flavescens,600,1400
cyperus-haspan,800,1600
cyperus-lancastriensis,800,1400
cyperus-polystachyos,800,1400
cyperus-pseudovegetus,700,1400
cyperus-strigosus,400,1600
cyrilla-racemiflora,1000,1800
cytisus-scoparius,700,1600
dacryodes-excelsa,2000,4100
dactylis-glomerata,600,1600
dactylis-glomerata-subsp-hispanica,600,1600
dactylis-glomerata-subsp-lobata,600,1600
dactylis-glomerata-subsp-lusitanica,600,1600
dactylis-glomerata-subsp-woronowii,600,1600
dactylis-smithii,600,1600
dalea-candida,300,600
dalea-formosa,300,600
dalea-purpurea,400,700
damasonium-californicum,300,500
danthonia-californica,100,1100
danthonia-compressa,800,1400
danthonia-intermedia,100,600
danthonia-unispicata,300,4000
dasiphora-fruticosa,400,1100
dasylirion-wheeleri,100,400
decodon-verticillatus,700,1600
delonix-regia,1000,2600
delphinium-andersonii,300,700
delphinium-glaucum,1300,3200
dendrophorbium-amplexicaule,500,1100
deschampsia-caespitosa-var-glauca,300,700
deschampsia-cespitosa,300,700
deschampsia-cespitosa-subsp-holciformis,300,700
deschampsia-cespitosa-subsp-parviflora,300,700
deschampsia-cespitosa-subsp-septentrionalis,300,700
deschampsia-danthonioides,300,800
deschampsia-elongata,200,700
desmanthus-illinoensis,400,700
desmanthus-virgatus,700,2100
desmodium-incanum,900,3000
desmodium-intortum,500,4100
desmodium-paniculatum,1100,2300
desmodium-perplexum,500,1600
desmodium-procumbens,500,2100
deutzia-gracilis,800,1400
dicentra-formosa,1300,4000
dicentra-formosa-subsp-oregona,1300,4000
dicentra-nevadensis,1300,4000
dichanthium-annulatum,600,1600
dichanthium-annulatum-var-papillosum,600,1600
dichanthium-aristatum,600,1600
dichelyma-uncinatum,100,500
didymodon-revolutus,200,500
diervilla-lonicera,800,1300
dieteria-bigelovii,100,500
digitaria-aequiglumis,700,1600
digitaria-californica,100,400
digitaria-ciliaris,800,1300
digitaria-eriantha,800,1600
diospyros-virginiana,700,2100
diplachne-fusca-subsp-fascicularis,300,1700
diplacus-nanus,200,1100
distichlis-spicata,100,1800
dodecatheon-meadia-subsp-meadia,700,1400
dodonaea-viscosa,200,900
dodonaea-viscosa-subsp-angustissima,200,900
dodonaea-viscosa-subsp-cuneata,200,900
dodonaea-viscosa-subsp-spatulata,200,900
downingia-bicornuta,300,900
downingia-laeta,300,700
dryas-drummondii,300,1100
dryas-drummondii-var-eglandulosa,300,1100
dryas-drummondii-var-tomentosa,300,1100
dryas-integrifolia,300,900
dryas-octopetala,300,900
dryas-octopetala-f-argentea,300,900
dryas-octopetala-ssp-octopetala-var-angustifolia,300,900
dryas-octopetala-ssp-octopetala-var-kamtschatica,300,-1
dryas-octopetala-ssp-octopetala-var-octopetala,300,-1
dryas-octopetala-subsp-alaskensis,300,900
dryas-octopetala-subsp-hookeriana,300,900
drymocallis-arguta,200,1300
drymocallis-arguta-subsp-convallaria,200,1300
drymocallis-glandulosa,200,900
drymocallis-glandulosa-subsp-arizonica,200,900
drymocallis-glandulosa-subsp-ashlandica,200,900
drymocallis-glandulosa-subsp-ewanii,200,900
drymocallis-glandulosa-subsp-glabrata,200,900
drymocallis-glandulosa-subsp-globosa,200,900
drymocallis-glandulosa-subsp-hansenii,200,900
drymocallis-glandulosa-subsp-micropetala,200,900
drymocallis-glandulosa-subsp-nevadensis,200,900
drymocallis-glandulosa-subsp-pseudorupestris,200,900
drymocallis-glandulosa-subsp-reflexa,200,900
drymocallis-lactea-var-austinae,200,900
dryopteris-australis,300,1400
dryopteris-cristata,300,1400
dulichium-arundinaceum,400,1600
dulichium-arundinaceum-var-boreale,400,1600
dupoa-labradorica,100,6000
echinacea-angustifolia,300,1100
echinacea-pallida,300,1100
echinacea-purpurea,300,1100
echinochloa-colona,300,1600
echinochloa-frumentacea,400,1600
echinochloa-walteri,700,1300
elaeagnus-angustifolia,300,1100
elaeagnus-commutata,400,1200
elaeagnus-umbellata,600,1300
eleocharis-acicularis,300,1300
eleocharis-acicularis-var-porcata,300,1300
eleocharis-cellulosa,900,1600
eleocharis-compressa,600,1600
eleocharis-compressa-var-acutisquamata,600,1600
eleocharis-equisetoides,800,1600
eleocharis-erythropoda,400,1600
eleocharis-microcarpa,300,1000
eleocharis-palustris,400,1600
eleocharis-palustris-var-vigens,400,1600
eleocharis-parvula,400,1600
eleocharis-quadrangulata,600,1600
eleocharis-rostellata,200,1400
eleocharis-tenuis,600,1600
eleocharis-tenuis-var-pseudoptera,600,1600
eleocharis-tenuis-var-verrucosa,600,1600
elephantopus-mollis,800,1400
elliottia-pyroliflora,1000,5100
elodea-canadensis,300,1600
elymus-bakeri,200,700
elymus-canadensis,500,1200
elymus-elymoides,100,500
elymus-elymoides-subsp-californicus,100,500
elymus-glabriflorus-var-glabriflorus,400,1600
elymus-glaucus-subsp-glaucus,400,1600
elymus-glaucus-subsp-mackenzii,400,1600
elymus-glaucus-subsp-virescens,400,1600
elymus-hordeoides,100,500
elymus-lanceolatus,600,1400
elymus-longifolius,100,500
elymus-repens,600,1700
elymus-repens-subsp-elongatiformis,600,1700
elymus-sibiricus,600,1400
elymus-violaceus,200,700
elymus-virginicus,600,1400
empetrum-nigrum,400,1400
encelia-farinosa,100,300
engelmannia-peristenia,300,900
ephedra-nevadensis,100,400
ephedra-torreyana,200,400
ephedra-torreyana-var-powelliorum,200,400
ephedra-trifurca,100,300
ephedra-viridis,100,400
epilobium-angustifolium,200,1400
epilobium-coloratum,500,1400
epilobium-glaberrimum,300,600
epilobium-glaberrimum-subsp-fastigiatum,300,600
epilobium-leptophyllum,300,1300
epilobium-subdentatum,100,1800
equisetum-arvense,500,2600
equisetum-fluviatile,700,1400
equisetum-laevigatum,200,1200
equisetum-sylvaticum,500,2600
eragrostis-curvula,300,1100
eragrostis-hypnoides,400,1600
eragrostis-intermedia,100,500
eragrostis-lehmanniana,200,800
eragrostis-spectabilis,200,1600
eragrostis-superba,300,1100
eragrostis-trichodes,300,900
eragrostis-variabilis,400,1800
eremochloa-ophiuroides,900,1600
ericameria-nauseosa-ssp-nauseosa-var-nauseosa,100,600
ericameria-pinifolia,200,500
erigeron-acris,400,1400
erigeron-annuus,300,1400
erigeron-canadensis,300,1400
erigeron-compositus,200,700
erigeron-eatonii,200,400
erigeron-filifolius,200,1600
erigeron-ochroleucus-var-ochroleucus,900,1400
erigeron-peregrinus,300,600
erigeron-peregrinus-ssp-callianthemus-var-callianthemus,300,600
erigeron-peregrinus-ssp-callianthemus-var-hirsutus,300,600
erigeron-peregrinus-ssp-peregrinus-var-dawsonii,300,-1
erigeron-peregrinus-ssp-peregrinus-var-peregrinus,300,600
erigeron-peregrinus-ssp-peregrinus-var-thompsonii,300,-1
erigeron-peregrinus-var-thompsonii,300,600
erigeron-petrophilus,400,800
erigeron-petrophilus-var-sierrensis,400,800
erigeron-philadelphicus-var-glaber,400,1400
erigeron-philadelphicus-var-philadelphicus,400,1400
erigeron-philadelphicus-var-provancheri,400,1400
erigeron-strigosus-var-septentrionalis,300,1400
erigeron-strigosus-var-strigosus,300,1400
erigeron-uniflorus,300,600
eriocaulon-compressum,1000,1600
eriocaulon-decangulare-var-decangulare,1000,1600
eriocaulon-decangulare-var-minor,1000,1600
eriodictyon-californicum,200,700
eriogonum-crosbyae,200,500
eriogonum-effusum,200,700
eriogonum-elatum,200,500
eriogonum-elatum-var-villosum,200,500
eriogonum-fasciculatum,200,600
eriogonum-fasciculatum-var-flavoviride,200,600
eriogonum-fasciculatum-var-foliolosum,200,600
eriogonum-fasciculatum-var-polifolium,200,600
eriogonum-latens,200,500
eriogonum-marifolium,400,900
eriogonum-microtheca,200,700
eriogonum-microtheca-var-laxiflorum,200,700
eriogonum-microtheca-var-simpsonii,200,700
eriogonum-microthecum,200,700
eriogonum-microthecum-subsp-laxiflorum,200,-1
eriogonum-microthecum-var-alpinum,200,700
eriogonum-microthecum-var-ambiguum,200,700
eriogonum-microthecum-var-corymbosoides,200,700
eriogonum-microthecum-var-crispum,200,-1
eriogonum-microthecum-var-johnstonii,200,-1
eriogonum-microthecum-var-lapidicola,200,700
eriogonum-microthecum-var-laxiflorum,200,700
eriogonum-microthecum-var-panamintense,200,700
eriogonum-niveum,100,500
eriogonum-sphaerocephalum,200,500
eriogonum-sphaerocephalum-var-fasciculifolium,200,500
eriogonum-sphaerocephalum-var-halimioides,200,500
eriogonum-sphaerocephalum-var-sublineare,200,500
eriogonum-strictum,200,500
eriogonum-strictum-ssp-proliferum-var-anserinum,200,500
eriogonum-strictum-ssp-proliferum-var-glabrum,200,500
eriogonum-strictum-ssp-proliferum-var-proliferum,200,500
eriogonum-strictum-var-anserinum,200,500
eriogonum-strictum-var-greenei,200,500
eriogonum-strictum-var-proliferum,200,500
eriogonum-thymoides,200,500
eriogonum-umbellatum,300,1100
eriogonum-umbellatum-var-argus,300,1100
eriogonum-umbellatum-var-aureum,300,1100
eriogonum-umbellatum-var-bahiiforme,300,1100
eriogonum-umbellatum-var-chlorothamnus,300,1100
eriogonum-umbellatum-var-cladophorum,300,1100
eriogonum-umbellatum-var-cognatum,300,1100
eriogonum-umbellatum-var-covillei,300,1100
eriogonum-umbellatum-var-deserticum,300,1100
eriogonum-umbellatum-var-devestivum,300,1100
eriogonum-umbellatum-var-dichrocephalum,300,1100
eriogonum-umbellatum-var-dumosum,300,1100
eriogonum-umbellatum-var-ellipticum,300,1100
eriogonum-umbellatum-var-furcosum,300,1100
eriogonum-umbellatum-var-glaberrimum,300,1100
eriogonum-umbellatum-var-goodmanii,300,1100
eriogonum-umbellatum-var-hausknechtii,300,1100
eriogonum-umbellatum-var-humistratum,300,1100
eriogonum-umbellatum-var-hypoleium,300,1100
eriogonum-umbellatum-var-juniporinum,300,1100
eriogonum-umbellatum-var-majus,300,1100
eriogonum-umbellatum-var-minus,300,1100
eriogonum-umbellatum-var-modocense,300,1100
eriogonum-umbellatum-var-munzii,300,1100
eriogonum-umbellatum-var-nevadense,300,1100
eriogonum-umbellatum-var-polyanthum,300,1100
eriogonum-umbellatum-var-porteri,300,1100
eriogonum-umbellatum-var-speciosum,300,1100
eriogonum-umbellatum-var-subaridum,300,1100
eriogonum-umbellatum-var-torreyanum,300,1100
eriogonum-umbellatum-var-vernum,300,1100
eriogonum-umbellatum-var-versicolor,300,1100
eriogonum-wrightii,200,400
eriogonum-wrightii-var-membranaceum,200,400
eriogonum-wrightii-var-nodosum,200,400
eriogonum-wrightii-var-olanchense,200,400
eriogonum-wrightii-var-subscaposum,200,400
eriogonum-wrightii-var-trachygonum,200,400
eriophorum-angustifolium,600,1400
eriophorum-angustifolium-subsp-triste,600,1400
eriophorum-gracile-subsp-gracile,600,1400
eriophorum-virginicum,800,1300
erodium-botrys,300,700
erysimum-capitatum,300,800
erythranthe-arenicola,200,700
erythranthe-arvensis,200,700
erythranthe-guttata,200,700
erythranthe-linearifolia,600,1600
erythranthe-primuloides,600,1600
erythranthe-scouleri,200,700
erythrina-sandwicensis,600,900
erythrina-tahitensis,600,900
erythrina-variegata,1500,2600
eschscholzia-californica,200,500
eschscholzia-californica-subsp-mexicana,200,500
eucalyptus-camaldulensis,500,2600
eucalyptus-globulus,500,1600
eucalyptus-globulus-subsp-bicostata,500,1600
eucalyptus-globulus-subsp-maidenii,500,1600
eucalyptus-grandis,1000,1800
eucalyptus-leucoxylon,500,2600
eucalyptus-robusta,1000,6400
eucalyptus-saligna,1500,5100
eucephalus-engelmannii,300,1100
euonymus-alatus,600,1700
euonymus-alatus-var-apterus,600,1700
euonymus-alatus-var-ciliato-dentatus,600,1700
euonymus-americana,800,1800
euonymus-fortunei,800,1400
euonymus-fortunei-var-radicans,800,1400
euonymus-japonicus,800,1400
eurybia-glauca,200,600
eurybia-integrifolia,200,1600
eurybia-macrophylla,800,1400
euthamia-occidentalis,400,900
eutrochium-maculatum,800,1300
fagopyrum-esculentum,300,1300
fagopyrum-tataricum,800,1400
fagus-grandifolia,700,2100
fallugia-paradoxa,100,600
felicia-filifolia,200,1600
fendlera-rupicola,200,900
ferotrefle-wislizeni,200,-1
festuca-arizonica,200,500
festuca-californica,300,600
festuca-campestris,400,700
festuca-idahoensis,300,600
festuca-idahoensis-subsp-roemeri,300,600
festuca-occidentalis,300,1200
festuca-ovina,600,1600
festuca-prolifera,600,1600
festuca-richardsonii,600,1600
festuca-rivularis,600,1600
festuca-rubra,600,1600
festuca-rubra-ssp-rubra-var-planifolia,600,1600
festuca-rubra-subsp-falax,600,1600
festuca-rubra-subsp-megastachys,600,1600
festuca-subulata,200,900
festuca-subverticillata,800,1600
festuca-thurberi,200,700
festuca-trachyphylla,300,700
festuca-viridula,1000,1600
flourensia-cernua,200,700
forestiera-acuminata,800,1300
forestiera-pubescens,200,700
forsythia-suspensa,800,1600
forsythia-x-intermedia,800,1600
fothergilla-gardenii,800,2300
fouquieria-splendens,100,400
fragaria-chiloensis,400,1600
fragaria-chiloensis-subsp-lucida,400,1600
fragaria-chiloensis-subsp-pacifica,400,1600
fragaria-chiloensis-subsp-sandwicensis,400,1600
frangula-alnus,800,1600
frangula-betulifolia,300,900
frangula-californica,300,700
frangula-caroliniana,400,1300
frangula-purshiana,300,1200
frangula-purshiana-subsp-annonifolia,300,1200
frangula-purshiana-subsp-ultramafica,300,1200
franklinia-alatamaha,800,1600
fraxinus-americana,700,2100
fraxinus-anomala,200,600
fraxinus-caroliniana,900,1700
fraxinus-latifolia,500,3000
fraxinus-nigra,500,1300
fraxinus-pennsylvanica,300,1000
fraxinus-profunda,900,1800
fremontodendron-californicum,300,900
fremontodendron-decumbens,300,900
fritillaria-pudica,200,500
furcraea-tuberosa,700,1300
gaillardia-aristata,400,800
gaillardia-pulchella,100,500
galium-antarcticum,400,1400
galium-aparine,300,1400
galium-asprellum,700,1300
galium-circaezans,500,1400
galium-domingense,400,1400
galium-obtusum,700,1400
galium-obtusum-subsp-australe,700,1400
galium-obtusum-subsp-filifolium,700,1400
galium-oreganum,200,400
galium-spurium-subsp-spurium,300,1400
galium-trifidum-subsp-columbianum,400,1400
galium-trifidum-subsp-halophilum,400,1400
galium-trifidum-subsp-subbiflorum,400,1400
galium-trifidum-subsp-trifidum,400,1400
garrya-wrightii,200,400
gaultheria-hispidula,700,1600
gaultheria-procumbens,800,1600
gaultheria-shallon,1300,3200
gaylussacia-baccata,700,1600
gaylussacia-dumosa,700,1600
gaylussacia-frondosa,800,1600
gentiana-andrewsii,900,1600
gentiana-andrewsii-var-dakotica,900,1600
gentiana-calycosa,600,1600
gentiana-clausa,900,1600
geranium-erianthum,500,7100
geranium-oreganum,1300,3200
geranium-richardsonii,200,800
geranium-viscosissimum,200,500
geum-canadense,300,1600
geum-laciniatum,900,1400
geum-laciniatum-var-trichocarpum,900,1400
geum-macrophyllum,300,1400
geum-macrophyllum-var-perincisum,300,1400
geum-rivale,700,1400
geum-rossii-var-turbinatum,200,500
geum-triflorum,400,1100
geum-triflorum-var-campanulatum,400,1100
geum-triflorum-var-canescens,400,1100
geum-triflorum-var-ciliatum,400,1100
geum-vernum,700,1400
ginkgo-biloba,1000,1700
gleditsia-aquatica,400,1800
gleditsia-triacanthos,500,1800
gliricidia-sepium,1500,2100
glyceria-borealis,700,1300
glyceria-canadensis,500,1300
glyceria-melicaria,800,1300
glyceria-obtusa,1000,1300
glyceria-striata,200,1600
glycine-max,400,1500
glycyrrhiza-lepidota,300,1100
grayia-spinosa,200,700
grevillea-robusta,700,2500
guaiacum-officinale,1000,1600
guaiacum-sanctum,800,1600
gutierrezia-sarothrae,100,800
gynerium-sagittatum,1000,3500
hackelia-deflexa-subsp-americana,300,800
halerpestes-cymbalaria,300,1300
halesia-carolina,1000,2100
halesia-diptera,800,1800
hamamelis-virginiana,700,1600
hedera-canariensis,700,1700
hedera-taurica,700,1700
hedysarum-alpinum,700,2100
hedysarum-alpinum-var-americanum,700,2100
hedysarum-alpinum-var-grandiflorum,700,2100
hedysarum-alpinum-var-philoscia,700,2100
hedysarum-boreale,300,500
hedysarum-boreale-ssp-boreale-var-boreale,200,1000
hedysarum-boreale-ssp-boreale-var-gremiale,300,500
hedysarum-boreale-subsp-mackenziei,300,500
hedysarum-sulphurescens,200,600
helenium-autumnale,200,1600
helenium-flexuosum,500,1600
helianthella-quinquenervis,200,900
helianthus-angustifolius,600,1700
helianthus-annuus,300,1600
helianthus-annuus-var-armavirskij,300,1600
helianthus-annuus-var-bicolor,300,1600
helianthus-annuus-var-californicus,300,1600
helianthus-annuus-var-gallardiflorus,300,1600
helianthus-annuus-var-intermedius,300,1600
helianthus-annuus-var-uniflorus,300,1600
helianthus-annuus-var-vinossissimus,300,1600
helianthus-annuus-var-zonatus,300,1600
helianthus-debilis,800,1600
helianthus-debilis-subsp-cucumerifolius,800,1600
helianthus-debilis-subsp-silvestris,800,1600
helianthus-debilis-subsp-tardiflorus,800,1600
helianthus-debilis-subsp-vestitus,800,1600
helianthus-debilis-var-purpureus,800,1600
helianthus-maximiliani,400,900
helianthus-nuttallii,300,600
helianthus-nuttallii-subsp-parishii,300,600
helianthus-nuttallii-subsp-rydbergii,300,600
helianthus-praecox,800,1600
helianthus-praecox-subsp-runyonii,800,1600
helianthus-praecox-var-hirtus,800,1600
helianthus-tuberosus,300,1400
heliopsis-helianthoides-var-scabra,600,1100
heliotropium-curassavicum,200,700
heliotropium-curassavicum-var-argentinum,200,700
heliotropium-curassavicum-var-fruticulosum,200,700
heliotropium-curassavicum-var-obovatum,200,700
heliotropium-curassavicum-var-oculatum,200,700
hemarthria-altissima,800,1800
hemerocallis-citrina,700,1600
hemerocallis-citrina-var-vespertina,700,1600
hemerocallis-coreana,700,1600
hemerocallis-darrowiana,700,1600
hemerocallis-dumortieri,700,1600
hemerocallis-forrestii,700,1600
hemerocallis-fulva,700,1600
hemerocallis-fulva-var-angustifolia,700,1600
hemerocallis-fulva-var-aurantiaca,700,1600
hemerocallis-fulva-var-littorea,700,1600
hemerocallis-fulva-var-longituba,700,1600
hemerocallis-fulva-var-pauciflora,700,1600
hemerocallis-fulva-var-sempervirens,700,1600
hemerocallis-hakuunensis,700,1600
hemerocallis-lilioasphodelus,700,1600
hemerocallis-major,700,1600
hemerocallis-middendorffii,700,1600
hemerocallis-middendorffii-var-esculenta,700,1600
hemerocallis-middendorffii-var-exaltata,700,1600
hemerocallis-middendorffii-var-longibracteata,700,1600
hemerocallis-minor,700,1600
hemerocallis-multiflora,700,1600
hemerocallis-nana,700,1600
hemerocallis-plicata,700,1600
hemerocallis-thunbergii,700,1600
hemerocallis-x-exilis,700,1600
hemerocallis-x-fallaxlittoralis,700,1600
hemerocallis-yezoensis,700,1600
heracleum-sphondylium-subsp-montanum,300,1200
hesperis-matronalis,800,1600
hesperocyparis-nevadensis,400,800
hesperocyparis-stephensonii,400,800
hesperostipa-comata-var-comata,100,600
hesperoyucca-whipplei,200,400
heteropogon-contortus,100,400
heterotheca-villosa,200,700
heterotheca-villosa-var-ballardii,200,700
heterotheca-villosa-var-depressa,200,700
heterotheca-villosa-var-foliosa,200,700
heterotheca-villosa-var-minor,200,700
heterotheca-villosa-var-nana,200,700
heterotheca-villosa-var-pedunculata,200,700
heuchera-cylindrica,200,900
heuchera-sanguinea,300,1400
hibiscus-hispidissimus,700,4100
hibiscus-laevis,800,1600
hibiscus-moscheutos,800,1700
hibiscus-moscheutos-subsp-lasiocarpos,800,1700
hilaria-belangeri,100,400
hilaria-belangeri-var-longifolia,100,400
hippophae-rhamnoides,600,1300
hippuris-vulgaris,300,1400
holcus-lanatus,500,1700
holodiscus-discolor,200,700
holodiscus-dumosus,200,900
hordeum-aegiceras,300,2600
hordeum-brachyantherum,500,2100
hordeum-californicum,300,700
hordeum-euclaston,200,1600
hordeum-pusillum,200,1600
hordeum-vulgare,300,2600
hosackia-crassifolia,300,700
hosta-lancifolia,700,1600
hudsonia-tomentosa,800,1400
hura-crepitans,800,3900
hydrangea-macrophylla,800,1400
hydrangea-quercifolia,800,1600
hydrocharis-laevigata,800,1600
hydrolea-quadrivalvis,800,1300
hydrophyllum-capitatum,400,800
hydrophyllum-capitatum-var-thompsonii,400,800
hydrophyllum-occidentale,200,700
hymenaea-courbaril,800,2300
hymenocallis-liriosme,700,1600
hyparrhenia-dichroa,400,1600
hypericum-anagalloides,400,1200
hypericum-aviculariifolium,800,1400
hypericum-boreale,700,1400
hypericum-calycinum,700,1600
hypericum-cistifolium,800,1400
hypericum-crux-andreae,800,1300
hypericum-densiflorum,800,1300
hypericum-galinum,900,1400
hypericum-gentianoides,700,1400
hypericum-mutilum,700,1400
hypericum-prolificum,700,1400
hypoxis-hirsuta,400,1400
ilex-amelanchier,1100,1600
ilex-cassine,1100,1700
ilex-coriacea,700,1800
ilex-cornuta,600,1600
ilex-crenata,800,1400
ilex-crenata-var-paludosa,800,1400
ilex-decidua,700,1600
ilex-glabra,800,1600
ilex-magnifructa,200,900
ilex-opaca,1000,2100
ilex-savannarum,200,1600
ilex-savannarum-var-morichei,200,1600
ilex-verticillata,800,1600
ilex-vomitoria,900,1400
iliamna-rivularis,400,1400
impatiens-capensis,300,1300
impatiens-pallida,700,1300
indigofera-hirsuta,700,2700
inga-edulis,900,2100
inga-laurina,1000,2100
ipomoea-pes-caprae,700,2100
ipomoea-pes-caprae-subsp-pes-caprae,700,2100
ipomopsis-aggregata,200,400
iris-bracteata,400,1600
iris-chrysophylla,400,1600
iris-fulva,1000,1700
iris-innominata,400,1600
iris-missouriensis,600,900
iris-tenax,400,1600
iris-virginica,1100,1700
iris-x-thompsonii,400,1600
isopterygium-tenerum,200,500
itea-virginica,700,1600
iva-frutescens,800,1700
iva-frutescens-subsp-oraria,800,1700
jacobaea-leucophylla,200,500
jacquemontia-sandwicensis,800,1300
jamesia-americana,200,700
jamesia-americana-var-macrocalyx,200,700
jamesia-americana-var-rosea,200,700
jamesia-americana-var-zionis,200,700
juglans-cinerea,600,2100
juglans-major,600,2100
juglans-microcarpa,400,900
juglans-microcarpa-var-stewartii,400,900
juglans-nigra,700,1600
juglans-regia,700,1200
juncus-articulatus,400,1100
juncus-biflorus,800,1400
juncus-biglumis,300,600
juncus-brachycarpus,800,1400
juncus-brachycephalus,800,1400
juncus-bufonius,200,1400
juncus-canadensis,700,1600
juncus-castaneus-ssp-castaneus-var-castaneus,800,1600
juncus-castaneus-subsp-castaneus,800,1600
juncus-castaneus-subsp-leucochlamys,800,1600
juncus-concinnus,300,800
juncus-confusus,200,800
juncus-conglomeratus,400,1600
juncus-dichotomus,300,1600
juncus-drummondii,800,1400
juncus-effusus,400,1600
juncus-effusus-subsp-solutus,400,1600
juncus-ensifolius,200,1100
juncus-hybridus,200,1400
juncus-interior,500,1400
juncus-jacquinii,800,1600
juncus-longistylis,200,1100
juncus-marginatus,800,1400
juncus-mertensianus,200,800
juncus-nevadensis,200,800
juncus-nodosus,800,1300
juncus-parryi,700,1600
juncus-ranarius,200,1400
juncus-roemerianus,1000,1600
juncus-scirpoides,900,1400
juncus-secundus,800,1400
juncus-subcaudatus,900,1400
juncus-tenuis,200,1400
juncus-torreyi,300,1300
juncus-triglumis,300,800
juncus-validus,800,1400
juniperus-ashei,200,700
juniperus-chinensis,700,1600
juniperus-chinensis-var-sargentii,700,1600
juniperus-communis-var-communis,500,1600
juniperus-communis-var-depressa,500,1600
juniperus-communis-var-megistocarpa,500,1600
juniperus-communis-var-saxatilis,500,1600
juniperus-horizontalis,700,1700
juniperus-monosperma,200,700
juniperus-occidentalis-var-australis,200,700
juniperus-occidentalis-var-occidentalis,200,-1
juniperus-osteosperma,300,600
juniperus-scopulorum,200,700
juniperus-virginiana,300,1800
juniperus-virginiana-var-silicicola,700,1700
justicia-americana,800,1600
kalmia-latifolia,800,1600
kalmia-microphylla,300,600
kalmia-microphylla-subsp-occidentalis,300,600
kalmia-polifolia,300,600
kalmia-polifolia-subsp-occidentalis,300,600
keckiella-antirrhinoides-var-microphylla,400,1800
kerria-japonica,800,1600
kochia-scoparia-var-trichophila,200,-1
koeleria-macrantha,300,600
