slug,min_precip,max_precip
koelreuteria-paniculata,600,1300
krameria-erecta,100,400
kummerowia-stipulacea,700,1700
kummerowia-striata,700,1700
lablab-purpureus,600,2500
lachnagrostis-rudis,300,1600
lachnanthes-caroliniana,700,1400
lagerstroemia-indica,800,1300
laguncularia-racemosa,1000,2400
lappula-deflexa-subsp-americana,800,1400
larix-decidua,700,2100
larix-kaempferi,600,2100
larix-laricina,100,1400
larix-lyallii,600,2500
larix-occidentalis,300,1300
lasthenia-maritima,200,400
lathyrus-hirsutus,800,1600
lathyrus-japonicus,700,1600
lathyrus-japonicus-subsp-maritimus,700,1600
lathyrus-japonicus-var-parviflorus,700,1600
lathyrus-latifolius,600,1600
lathyrus-latifolius-f-albiflorus,600,1600
lathyrus-latifolius-f-lanceolatus,600,1600
lathyrus-littoralis,700,1600
lathyrus-sylvestris,700,1400
lathyrus-tuberosus,900,1400
lathyrus-vestitus,500,1600
leersia-lenticularis,600,1600
leersia-oryzoides,300,1300
leersia-virginica,300,1700
lepidium-alyssoides,200,400
lepidium-barnebyanum,200,400
lepidium-crenatum,200,400
lepidium-davisii,200,400
lepidium-integrifolium,200,400
lepidium-lasiocarpum,700,1200
lepidium-montanum,200,400
lepidium-nitidum,700,1600
lespedeza-bicolor,800,1600
lespedeza-capitata,400,1200
lespedeza-hirta,700,1600
lespedeza-hirta-var-appressipilis,700,1600
lespedeza-hirta-var-dissimulans,700,1600
lespedeza-thunbergii,800,1700
leucaena-leucocephala,300,2100
leucaena-leucocephala-subsp-glabrata,300,2100
leucaena-retusa,300,800
leucanthemum-vulgare,700,1300
leucanthemum-vulgare-subsp-pannonicum,700,1300
leucanthemum-vulgare-subsp-pujiulae,700,1300
leucothoe-axillaris,1000,1400
leucothoe-fontanesiana,800,1600
leymus-ambiguus,200,700
leymus-angustus,300,500
leymus-arenarius,800,1600
leymus-cinereus,200,600
leymus-condensatus,300,700
leymus-flavescens,300,800
leymus-mollis,800,1600
leymus-racemosus,200,1600
leymus-salina,200,700
leymus-salinus,200,700
leymus-secalinus,400,1600
leymus-triticoides,100,1600
leymus-x-multiflorus,100,1600
liatris-punctata,400,700
liatris-punctata-var-mexicana,400,700
liatris-punctata-var-mucronata,400,700
liatris-pycnostachya,400,700
liatris-pycnostachya-var-lasiophylla,400,700
liatris-spicata,800,1600
liatris-squarrulosa,800,1600
ligustrum-japonicum,700,2100
ligustrum-ovalifolium,800,1800
limonium-carolinianum,1000,1400
linanthus-pungens,200,500
linanthus-pungens-subsp-hallii,200,500
linanthus-pungens-subsp-hazeliae,200,500
linanthus-pungens-subsp-hookeri,200,500
lindera-benzoin,800,1300
linum-lewisii,200,600
linum-lewisii-var-alpicola,200,600
linum-lewisii-var-lepagei,200,600
linum-striatum,500,1600
lippia-micromera,700,2100
liquidambar-styraciflua,1000,1600
liriodendron-tulipifera,700,2100
liriope-muscari,600,1600
lithocarpus-densiflorus-f-attenuatodentatus,1000,2600
lithocarpus-densiflorus-var-densiflorus,1000,2600
lithocarpus-korthalsii,1000,1800
lithospermum-ruderale,200,500
lobelia-cardinalis,700,1600
lolium-multiflorum,400,1700
lolium-perenne,800,1700
lolium-rigidum,300,1600
lomatium-canbyi,200,500
lomatium-cous,200,500
lomatium-dissectum,300,2600
lomatium-macrocarpum,200,500
lomatium-simplex,200,600
lomatium-triternatum,200,600
lomatium-triternatum-var-brevifolium,200,600
lomatium-triternatum-var-macrocarpum,200,600
lonicera-involucrata,300,900
lonicera-involucrata-var-ledebourii,300,900
lonicera-japonica,700,1600
lonicera-japonica-var-aureo-reticulata,200,500
lonicera-japonica-var-chinensis,200,500
lonicera-maackii,800,1300
lonicera-maackii-f-erubescens,800,1300
lonicera-sempervirens,500,1600
lonicera-tatarica,800,1300
lonicera-tatarica-var-micrantha,800,1300
lonicera-utahensis,600,1600
lorandersonia-linifolia,100,700
lotus-alpinus,600,1700
lotus-corniculatus,600,1700
lotus-corniculatus-subsp-frondosus,600,1700
lotus-corniculatus-var-carnosus,600,1700
lotus-corniculatus-var-hirsutus,600,1700
lotus-pedunculatus,1000,1400
lotus-tenuis,600,1300
lupinus-albicaulis,800,1600
lupinus-albicaulis-var-shastensis,800,1600
lupinus-albifrons,800,1600
lupinus-albus,800,1800
lupinus-angustifolius-subsp-reticulatus,800,1600
lupinus-arboreus,400,800
lupinus-arboreus-var-eximius,400,800
lupinus-arcticus,200,2600
lupinus-arcticus-subsp-subalpinus,200,2600
lupinus-argenteus,200,1200
lupinus-argenteus-ssp-argenteus-var-argenteus,200,1200
lupinus-argenteus-ssp-argenteus-var-laxiflorus,200,1200
lupinus-argenteus-subsp-ingratus,200,1200
lupinus-argenteus-subsp-moabensis,200,1200
lupinus-argenteus-subsp-parviflorus,200,1200
lupinus-argenteus-subsp-rubricaulis,200,1200
lupinus-argenteus-var-palmeri,200,1200
lupinus-argenteus-var-utahensis,200,1200
lupinus-aridus-subsp-aridus,200,400
lupinus-bingenensis-var-subsaccatus,600,1600
lupinus-caudatus,400,1800
lupinus-caudatus-subsp-argophyllus,400,1800
lupinus-caudatus-subsp-cutleri,400,1800
lupinus-caudatus-subsp-montigenus,400,1800
lupinus-caudatus-var-submanens,400,1800
lupinus-caudatus-var-subtenellus,400,1800
lupinus-confertus,200,400
lupinus-covillei,300,900
lupinus-cusickii,200,400
lupinus-elatus,800,1600
lupinus-elegans,800,1600
lupinus-elmeri,700,1600
lupinus-garfieldensis,100,300
lupinus-havardii,200,600
lupinus-hyacinthinus,800,1600
lupinus-jonesii,100,300
lupinus-kuschei,100,300
lupinus-latifolius,200,400
lupinus-latifolius-ssp-viridifolius-var-barbatus,200,400
lupinus-latifolius-ssp-viridifolius-var-viridifolius,200,400
lupinus-latifolius-subsp-dudleyi,200,400
lupinus-latifolius-subsp-leucanthus,200,400
lupinus-latifolius-subsp-longipes,200,400
lupinus-latifolius-subsp-parishii,200,400
lupinus-latifolius-subsp-viridifolius,200,400
lupinus-latifolius-subsp-wigginsii,200,400
lupinus-lepidus,200,400
lupinus-luteolus,300,800
lupinus-luteus,800,1600
lupinus-nevadensis,200,500
lupinus-nootkatensis,700,2100
lupinus-nootkatensis-var-fruticosus,700,2100
lupinus-nootkatensis-var-kiellmannii,700,2100
lupinus-onustus,600,1600
lupinus-oreganus-var-kincaidii,600,1600
lupinus-parviflorus,200,1200
lupinus-parviflorus-subsp-myrianthus,200,1200
lupinus-prunophilus,200,2600
lupinus-rupestris,200,400
lupinus-sellulus-var-medius,200,400
lupinus-sericeus,100,300
lupinus-sericeus-ssp-sericeus-var-egglestonianus,100,300
lupinus-sericeus-ssp-sericeus-var-flexuosus,100,300
lupinus-sericeus-ssp-sericeus-var-maximus,100,300
lupinus-sericeus-ssp-sericeus-var-sericeus,100,-1
lupinus-sericeus-ssp-sericeus-var-thompsonianus,100,300
lupinus-sericeus-ssp-sericeus-var-wallowensis,100,300
lupinus-sericeus-subsp-sabinei,100,300
lupinus-sulphureus,600,1600
luzula-divaricata,300,1200
luzula-fastigiata,300,1200
luzula-parviflora,300,1200
luzula-spicata,300,1200
lycium-carolinianum,600,1600
lycium-carolinianum-var-quadrifidum,600,1600
lycium-pallidum,200,400
lycium-pallidum-var-oligospermum,200,400
lycium-sandwicense,200,1300
lycopodium-dubium,800,1600
lycopus-americanus,300,1600
lycopus-asper,200,1000
lycopus-rubellus,700,1600
lycopus-virginicus,800,2100
lyonia-ligustrina,900,2100
lyonia-ligustrina-var-foliosiflora,900,2100
lyonia-lucida,1000,1600
lysimachia-fraseri,800,1400
lysimachia-hybrida,800,1400
lysimachia-maritima,300,1400
lysimachia-thyrsiflora,400,1400
machaeranthera-tanacetifolia,400,700
maclura-pomifera,600,1100
macroptilium-atropurpureum,300,2900
magnolia-acuminata,800,1600
magnolia-acuminata-var-subcordata,800,1600
magnolia-fraseri,1000,2100
magnolia-fraseri-var-pyramidata,1000,2100
magnolia-grandiflora,800,1600
magnolia-portoricensis,1000,2300
magnolia-stellata,800,1600
magnolia-tripetala,1000,1600
magnolia-virginiana,1000,2100
magnolia-virginiana-var-australis,1000,2100
magnolia-x-soulangiana,800,1600
malus-angustifolia,800,1400
malus-angustifolia-var-puberula,800,1400
malus-asiatica,800,1400
malus-baccata,800,1400
malus-baccata-var-gracilis,800,1400
malus-chitralensis,800,1400
malus-coronaria,800,1400
malus-crescimannoi,800,-1
malus-daochengensis,800,1400
malus-fusca,800,3100
malus-halliana,800,1400
malus-honanensis,800,1400
malus-hupehensis,800,1400
malus-ioensis,700,1200
malus-ioensis-var-palmeri,700,1200
malus-ioensis-var-texana,700,1200
malus-jinxianensis,800,-1
malus-kansuensis,800,1400
malus-komarovii,800,1400
malus-leiocalyca,800,1400
malus-mandshurica,300,1400
malus-melliana,800,1400
malus-muliensis,800,1400
malus-ombrophila,800,1400
malus-prunifolia,800,1400
malus-pumila,800,1400
malus-rockii,800,1400
malus-sieboldii-subsp-sieboldii,800,1400
malus-sieversii-var-turkmenorum,800,1400
malus-sikkimensis,800,1400
malus-spectabilis,800,1400
malus-spontanea,800,1400
malus-sylvestris,800,1400
malus-sylvestris-subsp-orientalis,800,1400
malus-sylvestris-subsp-praecox,800,1400
malus-toringoides,800,1400
malus-transitoria,800,1400
malus-x-dawsoniana,800,1400
malus-x-floribunda,800,1400
malus-x-hartwigii,800,1400
malus-x-magdeburgensis,800,1400
malus-x-micromalus,800,1400
malus-x-platycarpa,800,1400
malus-x-purpurea,800,1400
malus-x-robusta,800,1400
malus-x-scheideckeri,800,1400
malus-x-soulardii,800,-1
malus-x-sublobata,800,1400
malus-x-zumi,800,-1
malus-xpurpurea-f-eleyi,800,1400
malus-yunnanensis,800,-1
malva-assurgentiflora,200,700
mammea-americana,1200,2600
mangifera-indica,1500,2600
manihot-esculenta,1500,2100
manilkara-bidentata,1300,1900
manilkara-bidentata-subsp-surinamensis,1300,1900
manilkara-zapota,1500,2600
maurandella-antirrhiniflora,200,500
mauranthemum-paludosum,300,1300
medicago-brachycarpa,300,1700
medicago-falcata,300,1700
medicago-lupulina,300,1600
medicago-polymorpha,300,2000
medicago-sativa,300,1700
medicago-sativa-ssp-xtunetana,300,1700
medicago-scutellata,400,1300
medicago-x-varia,300,1700
melia-azedarach,500,1600
melica-californica,300,700
melica-imperfecta,200,500
melica-subulata,600,1300
melicoccus-bijugatus,700,2600
melilotus-albus,400,1600
melilotus-indica,400,1400
melilotus-officinalis,400,1700
menodora-scabra,100,500
mentha-arvensis,500,1300
mentha-canadensis,500,1300
mentzelia-decapetala,400,900
menyanthes-trifoliata,300,1400
mertensia-ciliata,300,1700
mertensia-ciliata-var-stomatechoides,300,1700
mertensia-virginica,600,1400
metasequoia-glyptostroboides,600,1400
metrosideros-kermadecensis,500,11500
metrosideros-polymorpha-var-dieteri,500,11500
metrosideros-polymorpha-var-imbricata,500,11500
metrosideros-polymorpha-var-lutea,500,11500
metrosideros-polymorpha-var-macrophylla,500,11500
metrosideros-polymorpha-var-newellii,500,11500
metrosideros-polymorpha-var-polymorpha,500,11500
metrosideros-polymorpha-var-pseudorugosa,500,11500
metrosideros-polymorpha-var-pumila,500,11500
metrosideros-waialealae-var-fauriei,500,11500
micranthes-ferruginea,700,1600
microseris-laciniata-subsp-siskiyouensis,400,1600
microseris-nutans,400,1600
mielichhoferia-elongata,200,8200
mielichhoferia-mielichhoferiana,200,8200
mikania-scandens,700,1600
mimulus-alatus,600,1600
mimulus-nanus-var-nanus,200,1100
mirabilis-multiflora,200,500
mirabilis-multiflora-var-glandulosa,200,500
mirabilis-multiflora-var-pubescens,200,500
miscanthus-sinensis,800,1700
mollugo-nudicaulis-var-nudicaulis,300,1100
monarda-fistulosa-ssp-fistulosa-var-menthifolia,300,700
morella-cerifera-var-pumila,800,1600
morus-alba,700,1600
morus-alba-var-multicaulis,700,1600
morus-rubra,800,1600
muhlenbergia-asperifolia,300,1100
muhlenbergia-capillaris,700,2300
muhlenbergia-curtisetosa,600,1400
muhlenbergia-cuspidata,400,1100
muhlenbergia-frondosa,900,1300
muhlenbergia-glomerata,700,1300
muhlenbergia-mexicana,500,1300
muhlenbergia-montana,300,800
muhlenbergia-porteri,100,400
muhlenbergia-pungens,200,600
muhlenbergia-racemosa,200,900
muhlenbergia-repens,300,600
muhlenbergia-richardsonis,200,500
muhlenbergia-rigens,200,500
muhlenbergia-schreberi,600,1400
muhlenbergia-sericea,700,2300
muhlenbergia-sylvatica,700,1200
muhlenbergia-uniflora,800,1600
muhlenbergia-wrightii,300,600
myoporum-sandwicense,1500,3400
myoporum-sandwicense-ssp-st-johnii,1500,3400
myoporum-stellatum,1500,3400
myosotis-scorpioides,600,1400
myosurus-apetalus-var-borealis,300,700
myosurus-apetalus-var-montanus,300,1400
myosurus-minimus-subsp-minimus,300,1400
myrica-gale,700,1300
myrsine-lanaiensis,300,600
nandina-domestica,800,1400
nassella-cernua,300,500
nassella-lepida,300,500
nassella-pulchra,300,1100
nassella-viridula,300,700
nasturtium-microphyllum,200,700
nasturtium-officinale,200,700
nemophila-maculata,300,700
neonotonia-wightii,300,2100
neonotonia-wightii-var-mearnsii,300,2100
nerium-oleander,300,1600
nitrophila-occidentalis,200,500
nolina-microcarpa,100,400
nuphar-advena,200,500
nuphar-orbiculata,200,500
nuphar-polysepala,200,1100
nuphar-pumila,200,500
nuphar-sagittifolia,200,500
nuphar-ulvacea,200,500
nuphar-variegata,200,500
nuphar-x-rubrodisca,200,500
nyssa-aquatica,1000,1600
nyssa-ogeche,1100,1600
nyssa-sylvatica,1000,1600
nyssa-sylvatica-var-biflora,1000,1600
ocotea-floribunda,1000,4500
ocotea-moschata,1000,4500
oemleria-cerasiformis,400,900
oenothera-biennis,500,1400
oenothera-brachycarpa,100,1800
oenothera-caespitosa-subsp-navajoensis,100,1800
oenothera-caespitosa-var-navajoensis,100,1800
oenothera-cespitosa,100,1800
oenothera-cespitosa-subsp-crinita,100,1800
oenothera-cespitosa-subsp-macroglottis,100,1800
oenothera-elata,200,700
oenothera-elata-subsp-hirsutissima,500,1400
oenothera-elata-subsp-hookeri,200,400
oenothera-flava,200,500
oenothera-fruticosa,800,1600
oenothera-latifolia,200,500
oenothera-nutans,500,1400
oenothera-pallida,200,500
oenothera-pallida-subsp-runcinata,200,500
oenothera-pallida-subsp-trichocalyx,200,500
oenothera-pilosella,800,1300
oenothera-pilosella-subsp-sessilis,800,1300
oenothera-psammophila,100,1800
oenothera-tetragona,800,1600
olneya-tesota,0,600
olsynium-douglasii,300,600
oncophorus-virens,500,1100
onobrychis-viciifolia,200,1200
opuntia-ficus-indica,200,400
opuntia-nicholii,200,600
opuntia-polyacantha,200,600
opuntia-polyacantha-var-erinacea,200,600
opuntia-polyacantha-var-hystricina,200,600
orobanche-multiflora,700,1300
orthocarpus-luteus,200,700
orthocarpus-tenuifolius,300,500
orthotrichum-lyellii,800,1600
osmanthus-heterophyllus,800,1600
osmorhiza-depauperata,300,1400
osmorhiza-occidentalis,400,900
osmunda-regalis,800,1400
osmundastrum-cinnamomeum,1000,1600
osteomeles-anthyllidifolia,800,2100
ostrya-knowltonii,400,1600
ostrya-virginiana,400,1600
oxydendrum-arboreum,700,1100
oxyria-digyna,700,1600
oxytropis-lambertii,400,700
oxytropis-lambertii-var-articulata,400,700
oxytropis-lambertii-var-bigelovii,400,700
oxytropis-splendens,400,1100
pachysandra-terminalis,900,1600
packera-aurea,300,1400
packera-glabella,700,1300
paeonia-brownii,400,700
paeonia-californica,400,700
pandanus-tectorius,200,8200
panicum-aciculare,700,1600
panicum-acuminatum-var-acuminatum,800,1300
panicum-amarum,700,1300
panicum-antidotale,300,700
panicum-clandestinum,800,1700
panicum-commutatum,700,1600
panicum-dichotomiflorum,500,1700
panicum-hemitomon,1000,2100
panicum-latifolium,500,1600
panicum-miliaceum-subsp-miliaceum,600,1300
panicum-ovale,800,1300
panicum-rudgei,700,1400
panicum-scabriusculum,1000,1700
panicum-sumatrense,400,700
papaver-gorodkovii,100,800
parnassia-fimbriata,200,500
parnassia-fimbriata-var-intermedia,200,500
parnassia-palustris,200,900
parnassia-palustris-var-tenuis,200,900
parthenocissus-quinquefolia,800,1600
parthenocissus-tricuspidata,800,1600
paspalum-conjugatum,1000,5100
paspalum-dilatatum,800,1600
paspalum-laeve,900,1500
paspalum-plicatulum,800,1500
passiflora-lutea,900,1600
paulownia-tomentosa,700,1400
pectis-angustifolia,300,500
pectis-angustifolia-var-fastigiata,300,500
pedicularis-canadensis,800,1600
pedicularis-groenlandica,200,1300
peltandra-virginica,800,1600
pennisetum-ciliare-var-setiger,300,900
penstemon-acuminatus,300,800
penstemon-acuminatus-var-latebracteatus,300,800
penstemon-albertinus,300,800
penstemon-angustifolius,200,900
penstemon-angustifolius-var-caudatus,200,900
penstemon-angustifolius-var-dulcis,200,900
penstemon-angustifolius-var-venosus,200,900
penstemon-angustifolius-var-vernalensis,200,900
penstemon-compactus,400,900
penstemon-confertus,300,1700
penstemon-cyananthus,400,900
penstemon-cyananthus-var-longiflorus,400,900
penstemon-cyananthus-var-subglaber,400,900
penstemon-deustus,200,500
penstemon-deustus-subsp-heterander,200,500
penstemon-deustus-var-heterander,200,500
penstemon-deustus-var-pedicellatus,200,500
penstemon-deustus-var-suffrutescens,200,500
penstemon-deustus-var-variabilis,200,500
penstemon-digitalis,700,1400
penstemon-eatonii,200,600
penstemon-fruticosus,200,500
penstemon-fruticosus-var-scouleri,200,500
penstemon-fruticosus-var-serratus,200,500
penstemon-gairdneri,200,500
penstemon-gairdneri-var-oreganus,200,500
penstemon-glaber,300,700
penstemon-glaber-var-alpinus,300,700
penstemon-glaber-var-brandegeei,300,700
penstemon-hartwegii,200,1100
penstemon-heterophyllus-subsp-purdyi,300,600
penstemon-laetus,300,600
penstemon-laetus-subsp-leptosepalus,300,600
penstemon-laetus-subsp-sagittatus,300,600
penstemon-lemhiensis,200,700
penstemon-longiflorus,400,900
penstemon-lyallii,300,700
penstemon-newberryi,300,1000
penstemon-newberryi-subsp-berryi,300,1000
penstemon-newberryi-subsp-sonomensis,300,1000
penstemon-palmeri,100,400
penstemon-palmeri-var-eglandulosus,100,400
penstemon-palmeri-var-macranthus,100,400
penstemon-procerus,300,1700
penstemon-roezlii,300,600
penstemon-rydbergii,500,800
penstemon-rydbergii-var-aggregatus,500,800
penstemon-rydbergii-var-oreocharis,500,800
penstemon-speciosus,200,700
penstemon-strictiformis,300,700
penstemon-strictus,300,700
penstemon-sudans,200,500
penstemon-venustus,200,1800
penstemon-whippleanus,300,900
penstemon-wilcoxii,400,700
penthorum-sedoides,700,1300
perezia-multiflora-subsp-sonchifolia,600,1400
perideridia-gairdneri,300,700
perideridia-gairdneri-subsp-borealis,300,700
perideridia-parishii,300,800
perideridia-parishii-subsp-latifolia,300,800
perityle-angustifolia,500,700
persea-borbonia,1000,2100
persea-palustris,800,1600
persicaria-amphibia,300,1600
persicaria-hydropiper,600,1600
persicaria-hydropiperoides,300,1300
persicaria-maculosa,300,1600
persicaria-pensylvanica,300,1600
persicaria-punctata,300,1600
phacelia-affinis,900,1300
phacelia-hastata,200,500
phacelia-hastata-var-charlestonensis,200,500
phacelia-hastata-var-compacta,200,500
phacelia-hastata-var-dasyphylla,200,500
phacelia-leptosepala,200,500
phacelia-tanacetifolia,200,500
phalaris-arundinacea,800,1600
philadelphus-coronarius,800,1300
philadelphus-lewisii,400,1800
philadelphus-lewisii-var-parvifolius,400,1800
philadelphus-microphyllus,200,400
philadelphus-microphyllus-var-argyrocalyx,200,400
philadelphus-microphyllus-var-pumilus,200,400
philadelphus-microphyllus-var-stramineus,200,400
philonotis-americana,400,1400
philonotis-gracillima,600,1200
philonotis-uncinata,600,1200
phleum-alpinum,400,1600
phleum-pratense,800,1400
phlox-alyssifolia,900,1600
phlox-alyssifolia-subsp-abdita,900,1600
phlox-alyssifolia-subsp-collina,900,1600
phlox-austromontana,500,1100
phlox-bifida,400,2100
phlox-bifida-subsp-stellaria,400,2100
phlox-diffusa,500,1100
phlox-diffusa-subsp-longistylis,500,1100
phlox-diffusa-subsp-scleranthifolia,500,1100
phlox-divaricata,800,1600
phlox-divaricata-subsp-laphamii,800,1600
phlox-glaberrima,800,1300
phlox-glaberrima-subsp-interior,800,1300
phlox-longifolia,500,1100
phlox-maculata,700,1400
phlox-oklahomensis,400,2100
phlox-subulata,800,1600
phlox-subulata-subsp-australis,800,1600
phlox-subulata-subsp-brittonii,800,1600
phlox-viridis,500,1100
phragmites-australis,300,1600
phragmites-australis-ssp-americanus-×-ssp-australis,300,1600
phyla-nodiflora,200,1100
phyla-nodiflora-var-reptans,200,1100
phyllodoce-breweri,1000,1600
phyllostachys-aurea,800,1700
physaria-newberryi,700,1300
physaria-newberryi-subsp-yesicola,700,1300
physocarpus-capitatus,500,2100
physocarpus-malvaceus,400,1100
physocarpus-opulifolius,800,1600
phytolacca-americana,700,1700
phytolacca-americana-var-rigida,700,1700
picea-abies,600,1600
picea-breweriana,500,2800
picea-engelmannii,500,4100
picea-engelmannii-subsp-mexicana,500,4100
picea-mariana,100,1600
picea-pungens,500,1200
picea-rubens,700,1400
picea-sitchensis,500,5800
pictetia-aculeata,700,1400
pieris-japonica,800,1400
pinus-albicaulis,400,1900
pinus-aristata,700,1600
pinus-arizonica,300,700
pinus-banksiana,300,900
pinus-canariensis,200,1100
pinus-cembroides-var-bicolor,200,600
pinus-clausa,1000,1700
pinus-contorta,400,700
pinus-contorta-var-murrayana,500,2100
pinus-coulteri,800,1600
pinus-edulis,200,700
pinus-elliottii,1000,2100
pinus-elliottii-var-densa,1000,2100
pinus-flexilis,500,1800
pinus-glabra,800,1700
pinus-hartwegii,300,1600
pinus-jeffreyi,500,2100
pinus-kesiya-var-langbianensis,800,1700
pinus-lambertiana,600,2300
pinus-monophylla,200,600
pinus-monticola,300,800
pinus-mugo,800,1600
pinus-nigra-subsp-laricio,800,-1
pinus-nigra-subsp-nigra,800,1300
pinus-nigra-subsp-pallasiana,800,1300
pinus-palustris,1000,1600
pinus-ponderosa,300,700
pinus-ponderosa-var-scopulorum,300,700
pinus-pungens,900,1600
pinus-radiata,400,800
pinus-radiata-var-binata,400,800
pinus-sabiniana,300,700
pinus-serotina,1000,1600
pinus-strobus,500,2100
pinus-sylvestris,600,1200
pinus-virginiana,800,1700
piper-methysticum,1500,6400
pittosporum-tobira,600,1600
pittosporum-viridiflorum,600,1600
pityopsis-graminifolia,800,1400
pityopsis-graminifolia-var-aequilifolia,800,1400
pityopsis-graminifolia-var-latifolia,800,1400
pityopsis-graminifolia-var-tenuifolia,800,1400
pityopsis-graminifolia-var-tracyi,800,1400
plagiobothrys-mollis,400,1100
plagiobothrys-mollis-var-vestitus,400,1100
plagiobothrys-stipitatus-var-micranthus,800,1800
plagiothecium-micans-var-fulvum,200,500
planera-aquatica,800,1400
plantago-elongata,200,500
plantago-major,400,1600
plantago-patagonica,200,500
plantago-uliginosa-subsp-uliginosa,400,1600
platanthera-dilatata,300,1300
platanthera-dilatata-var-albiflora,300,1300
platanthera-dilatata-var-leucostachys,300,1300
platanthera-dilatata-var-leucostachys-×-yosemitensis,300,1300
platanus-hybrida,600,1600
platanus-occidentalis,700,2100
platanus-racemosa,300,600
platanus-wrightii,400,700
platycladus-orientalis,800,1700
pluchea-odorata,200,1100
poa-albescens,200,500
poa-alpigena,700,1600
poa-arctica,300,3000
poa-autumnalis,900,1600
poa-compressa,300,1200
poa-fendleriana,200,500
poa-fendleriana-subsp-longiligula,200,500
poa-glauca-subsp-glauca,200,1500
poa-glauca-subsp-litvinoviana,200,1500
poa-glauca-subsp-rupicola,200,1500
poa-infirma,600,1600
poa-lanata,300,3000
poa-leibergii,200,1100
poa-leptocoma,400,1300
poa-macrantha,500,1100
poa-nemoralis,200,1500
poa-nervosa,300,800
poa-paucispicula,400,1300
poa-pratensis,700,1600
poa-secunda-subsp-juncifolia,300,600
poa-secunda-subsp-secunda,300,600
poa-sinaica,300,1100
poa-sylvestris,700,1600
poa-trivialis,800,1300
podocarpus-macrophyllus,700,1600
podocarpus-macrophyllus-var-maki,700,1600
polemonium-acutiflorum,200,7100
polemonium-foliosissimum,200,500
polemonium-foliosissimum-var-alpinum,200,500
polemonium-foliosissimum-var-flavum,200,500
polemonium-occidentale,300,1100
polemonium-occidentale-subsp-lacustre,300,1100
polygonum-bistorta-var-bistorta,900,1400
polygonum-pensylvanicum-subsp-oneillii,300,1600
polypogon-monspeliensis,300,1400
polystichum-imbricans,400,1400
polystichum-imbricans-subsp-curtum,400,1400
polystichum-munitum,400,1400
pontederia-hastata,1000,1600
populus-alba,600,1400
populus-alba-subsp-pyramidalis,600,1400
populus-angustifolia,500,900
populus-balsamifera,100,1800
populus-balsamifera-var-californica,100,1800
populus-deltoides,600,1600
populus-deltoides-subsp-monilifera,200,900
populus-deltoides-subsp-wislizeni,600,1600
populus-fremontii,500,700
populus-fremontii-subsp-mesetae,500,700
populus-fremontii-var-macdougalii,500,700
populus-grandidentata,500,1800
populus-heterophylla,800,1600
populus-nigra,500,1300
populus-tremuloides,100,1600
populus-tristis,200,3200
populus-x-canadensis,500,-1
potamogeton-amplifolius,300,1400
potamogeton-bicupulatus,300,1600
potamogeton-crispus,300,1400
potamogeton-epihydrus,300,1400
